"id" "time_O" "obs" "shock.O"
38 12 6 -3.02901713635992
38 25 4 -3.6922521947066
38 39 3 3.60470933083701
38 18 4 -3.6922521947066
38 27 4 3.6922521947066
38 46 6 3.02901713635992
39 50 4 3.6922521947066
39 31 2 4.01415129211973
39 36 4 3.6922521947066
39 6 2 4.01415129211973
39 12 3 3.60470933083701
39 19 1 4.42717625860142
40 6 5 3.35857235714011
40 32 2 4.01415129211973
40 45 5 -3.35857235714011
40 12 1 4.42717625860142
40 31 1 -4.42717625860142
40 25 1 -4.42717625860142
41 42 3 3.60470933083701
41 6 4 -3.6922521947066
41 35 5 3.35857235714011
41 41 6 3.02901713635992
41 24 2 -4.01415129211973
41 36 3 3.60470933083701
42 13 1 4.42717625860142
42 36 3 3.60470933083701
42 49 4 3.6922521947066
42 52 3 -3.60470933083701
42 24 5 3.35857235714011
42 23 6 -3.02901713635992
43 32 1 4.42717625860142
43 18 3 -3.60470933083701
43 4 5 -3.35857235714011
43 52 2 -4.01415129211973
43 47 3 3.60470933083701
43 16 4 -3.6922521947066
44 40 2 4.01415129211973
44 17 6 -3.02901713635992
44 12 4 3.6922521947066
44 39 3 3.60470933083701
44 8 6 -3.02901713635992
44 51 2 -4.01415129211973
45 43 2 4.01415129211973
45 6 2 4.01415129211973
45 19 3 3.60470933083701
45 10 6 3.02901713635992
45 7 4 -3.6922521947066
45 40 4 3.6922521947066
46 18 2 4.01415129211973
46 31 1 4.42717625860142
46 43 2 4.01415129211973
46 55 5 -3.35857235714011
46 40 4 3.6922521947066
46 9 3 -3.60470933083701
47 16 3 3.60470933083701
47 29 3 3.60470933083701
47 12 2 4.01415129211973
47 33 4 -3.6922521947066
47 8 1 -4.42717625860142
47 27 1 4.42717625860142
48 47 1 4.42717625860142
48 50 3 3.60470933083701
48 27 4 -3.6922521947066
48 11 1 -4.42717625860142
48 33 3 3.60470933083701
48 35 3 3.60470933083701
49 30 2 -4.01415129211973
49 14 1 -4.42717625860142
49 18 5 -3.35857235714011
49 47 4 3.6922521947066
49 44 4 3.6922521947066
49 39 6 -3.02901713635992
50 34 3 -3.60470933083701
50 4 1 4.42717625860142
50 22 4 3.6922521947066
50 53 6 3.02901713635992
50 17 1 -4.42717625860142
50 11 1 -4.42717625860142
51 50 4 -3.6922521947066
51 23 2 -4.01415129211973
51 14 4 -3.6922521947066
51 42 4 3.6922521947066
51 20 3 -3.60470933083701
51 17 6 3.02901713635992
52 9 1 -4.42717625860142
52 54 6 -3.02901713635992
52 4 5 -3.35857235714011
52 41 3 3.60470933083701
52 18 4 -3.6922521947066
52 10 1 -4.42717625860142
53 26 2 4.01415129211973
53 47 4 3.6922521947066
53 33 6 -3.02901713635992
53 37 6 -3.02901713635992
53 40 1 4.42717625860142
53 22 4 3.6922521947066
54 9 1 4.42717625860142
54 32 5 3.35857235714011
54 48 6 3.02901713635992
54 27 3 3.60470933083701
54 54 3 -3.60470933083701
54 49 3 -3.60470933083701
55 48 2 -4.01415129211973
55 39 5 -3.35857235714011
55 21 3 -3.60470933083701
55 18 5 -3.35857235714011
55 50 1 4.42717625860142
55 13 5 3.35857235714011
56 11 4 -3.6922521947066
56 41 1 4.42717625860142
56 29 5 -3.35857235714011
56 6 6 -3.02901713635992
56 53 6 3.02901713635992
56 52 1 -4.42717625860142
57 27 5 3.35857235714011
57 43 5 3.35857235714011
57 16 5 3.35857235714011
57 10 3 -3.60470933083701
57 32 6 3.02901713635992
57 19 1 -4.42717625860142
58 25 3 -3.60470933083701
58 19 4 3.6922521947066
58 34 6 -3.02901713635992
58 13 4 -3.6922521947066
58 40 2 -4.01415129211973
58 57 6 3.02901713635992
59 54 5 -3.35857235714011
59 11 1 -4.42717625860142
59 5 3 -3.60470933083701
59 13 4 -3.6922521947066
59 10 5 3.35857235714011
59 35 2 4.01415129211973
60 16 4 3.6922521947066
60 45 6 -3.02901713635992
60 25 4 -3.6922521947066
60 12 4 -3.6922521947066
60 50 2 -4.01415129211973
60 8 6 3.02901713635992
61 9 1 4.42717625860142
61 13 5 -3.35857235714011
61 10 3 -3.60470933083701
61 37 2 4.01415129211973
61 23 1 -4.42717625860142
61 48 4 -3.6922521947066
62 9 6 3.02901713635992
62 40 5 -3.35857235714011
62 29 6 -3.02901713635992
62 11 1 4.42717625860142
62 17 4 -3.6922521947066
62 34 2 -4.01415129211973
63 15 1 -4.42717625860142
63 4 5 3.35857235714011
63 24 4 3.6922521947066
63 27 5 -3.35857235714011
63 12 3 3.60470933083701
63 37 5 3.35857235714011
64 40 6 3.02901713635992
64 34 5 3.35857235714011
64 21 4 -3.6922521947066
64 10 4 -3.6922521947066
64 42 3 -3.60470933083701
64 31 2 4.01415129211973
65 8 4 -3.6922521947066
65 14 5 3.35857235714011
65 54 6 3.02901713635992
65 26 2 4.01415129211973
65 28 2 -4.01415129211973
65 46 3 3.60470933083701
66 12 2 -4.01415129211973
66 45 3 3.60470933083701
66 8 1 4.42717625860142
66 39 1 4.42717625860142
66 56 5 -3.35857235714011
66 48 4 -3.6922521947066
67 40 3 3.60470933083701
67 19 6 3.02901713635992
67 54 5 -3.35857235714011
67 18 6 3.02901713635992
67 56 3 3.60470933083701
67 10 2 4.01415129211973
68 37 6 3.02901713635992
68 24 1 -4.42717625860142
68 32 1 4.42717625860142
68 40 2 -4.01415129211973
68 51 4 -3.6922521947066
68 50 4 3.6922521947066
69 56 5 -3.35857235714011
69 40 5 -3.35857235714011
69 20 4 -3.6922521947066
69 41 2 4.01415129211973
69 33 4 -3.6922521947066
69 22 1 -4.42717625860142
70 37 5 -3.35857235714011
70 35 5 3.35857235714011
70 4 4 -3.6922521947066
70 6 5 3.35857235714011
70 57 5 3.35857235714011
70 20 6 3.02901713635992
71 19 1 4.42717625860142
71 34 5 3.35857235714011
71 14 5 -3.35857235714011
71 22 5 -3.35857235714011
71 57 5 -3.35857235714011
71 23 3 3.60470933083701
72 29 2 -4.01415129211973
72 12 2 -4.01415129211973
72 11 6 3.02901713635992
72 9 4 -3.6922521947066
72 46 5 3.35857235714011
72 10 2 -4.01415129211973
73 45 3 3.60470933083701
73 43 6 -3.02901713635992
73 27 6 3.02901713635992
73 10 2 -4.01415129211973
73 19 1 -4.42717625860142
73 56 1 -4.42717625860142
74 34 4 3.6922521947066
74 33 5 3.35857235714011
74 23 1 4.42717625860142
74 28 1 -4.42717625860142
74 24 6 3.02901713635992
74 16 5 3.35857235714011
75 30 3 3.60470933083701
75 7 4 -3.6922521947066
75 33 1 -4.42717625860142
75 54 3 -3.60470933083701
75 5 4 3.6922521947066
75 47 1 4.42717625860142
76 10 1 -4.42717625860142
76 28 1 4.42717625860142
76 36 4 -3.6922521947066
76 45 5 -3.35857235714011
76 51 1 -4.42717625860142
76 17 5 -3.35857235714011
77 8 4 -3.6922521947066
77 25 4 3.6922521947066
77 5 3 -3.60470933083701
77 56 4 -3.6922521947066
77 37 4 -3.6922521947066
77 20 4 -3.6922521947066
78 9 3 -3.60470933083701
78 13 5 3.35857235714011
78 44 6 -3.02901713635992
78 49 3 3.60470933083701
78 50 3 3.60470933083701
78 22 6 -3.02901713635992
79 50 6 -3.02901713635992
79 49 2 -4.01415129211973
79 28 6 3.02901713635992
79 17 5 -3.35857235714011
79 24 3 3.60470933083701
79 6 6 -3.02901713635992
80 40 4 -3.6922521947066
80 8 3 3.60470933083701
80 49 4 -3.6922521947066
80 16 2 -4.01415129211973
80 55 4 3.6922521947066
80 9 3 -3.60470933083701
81 9 6 -3.02901713635992
81 24 1 4.42717625860142
81 39 6 3.02901713635992
81 7 2 -4.01415129211973
81 5 3 -3.60470933083701
81 20 4 -3.6922521947066
82 14 2 4.01415129211973
82 33 1 4.42717625860142
82 42 1 4.42717625860142
82 24 6 3.02901713635992
82 57 5 -3.35857235714011
82 38 1 4.42717625860142
83 8 5 -3.35857235714011
83 14 4 -3.6922521947066
83 18 6 -3.02901713635992
83 5 6 3.02901713635992
83 28 3 -3.60470933083701
83 41 6 -3.02901713635992
84 31 3 3.60470933083701
84 38 5 -3.35857235714011
84 20 5 3.35857235714011
84 24 2 4.01415129211973
84 53 1 -4.42717625860142
84 28 1 -4.42717625860142
85 8 5 3.35857235714011
85 34 3 -3.60470933083701
85 23 6 3.02901713635992
85 5 5 -3.35857235714011
85 39 3 -3.60470933083701
85 54 5 3.35857235714011
86 20 3 3.60470933083701
86 25 4 3.6922521947066
86 26 6 -3.02901713635992
86 27 4 3.6922521947066
86 17 5 3.35857235714011
86 35 3 -3.60470933083701
87 8 2 4.01415129211973
87 6 6 -3.02901713635992
87 5 2 -4.01415129211973
87 30 6 -3.02901713635992
87 54 1 4.42717625860142
87 40 3 -3.60470933083701
88 17 3 3.60470933083701
88 36 6 3.02901713635992
88 30 2 -4.01415129211973
88 5 4 -3.6922521947066
88 21 5 3.35857235714011
88 4 4 -3.6922521947066
89 36 3 -3.60470933083701
89 28 2 -4.01415129211973
89 47 3 3.60470933083701
89 48 6 3.02901713635992
89 5 4 -3.6922521947066
89 44 5 -3.35857235714011
90 11 1 -4.42717625860142
90 51 2 -4.01415129211973
90 31 1 4.42717625860142
90 9 5 3.35857235714011
90 54 4 -3.6922521947066
90 39 5 -3.35857235714011
91 6 3 3.60470933083701
91 49 4 -3.6922521947066
91 28 6 3.02901713635992
91 7 4 3.6922521947066
91 53 4 -3.6922521947066
91 32 4 3.6922521947066
92 12 1 4.42717625860142
92 48 3 -3.60470933083701
92 45 6 -3.02901713635992
92 50 2 4.01415129211973
92 11 2 -4.01415129211973
92 51 5 -3.35857235714011
93 10 4 -3.6922521947066
93 42 2 4.01415129211973
93 44 2 4.01415129211973
93 31 5 3.35857235714011
93 45 1 4.42717625860142
93 50 2 4.01415129211973
94 20 4 3.6922521947066
94 37 1 -4.42717625860142
94 15 3 3.60470933083701
94 24 2 4.01415129211973
94 4 1 -4.42717625860142
94 5 5 3.35857235714011
95 8 1 4.42717625860142
95 19 1 4.42717625860142
95 42 5 3.35857235714011
95 16 1 4.42717625860142
95 53 1 4.42717625860142
95 35 6 3.02901713635992
96 15 3 -3.60470933083701
96 42 6 3.02901713635992
96 34 5 3.35857235714011
96 32 1 -4.42717625860142
96 47 6 -3.02901713635992
96 23 6 -3.02901713635992
97 31 6 -3.02901713635992
97 34 5 -3.35857235714011
97 43 4 3.6922521947066
97 38 3 3.60470933083701
97 11 6 -3.02901713635992
97 53 6 3.02901713635992
98 21 5 -3.35857235714011
98 54 2 4.01415129211973
98 31 6 3.02901713635992
98 44 5 -3.35857235714011
98 32 4 3.6922521947066
98 50 1 4.42717625860142
99 15 1 4.42717625860142
99 18 1 4.42717625860142
99 55 2 -4.01415129211973
99 33 5 -3.35857235714011
99 9 6 -3.02901713635992
99 34 5 -3.35857235714011
100 35 4 3.6922521947066
100 28 6 -3.02901713635992
100 10 1 4.42717625860142
100 23 3 3.60470933083701
100 39 1 -4.42717625860142
100 27 2 -4.01415129211973
