"id" "time_L" "lat" "shock.L"
31 17 1 4.28367711490071
31 38 1 -4.28367711490071
32 51 1 -4.28367711490071
32 14 2 3.51890981261465
32 27 1 -4.28367711490071
33 11 1 4.28367711490071
33 24 2 3.51890981261465
33 6 1 -4.28367711490071
34 48 1 -4.28367711490071
34 32 1 -4.28367711490071
34 53 1 4.28367711490071
35 40 2 3.51890981261465
35 28 1 -4.28367711490071
35 48 1 -4.28367711490071
36 22 2 3.51890981261465
36 8 1 4.28367711490071
36 54 2 -3.51890981261465
37 41 2 3.51890981261465
37 45 1 4.28367711490071
37 8 2 3.51890981261465
38 28 1 4.28367711490071
38 35 1 4.28367711490071
38 32 2 3.51890981261465
39 48 2 -3.51890981261465
39 19 1 -4.28367711490071
39 25 2 3.51890981261465
40 20 2 3.51890981261465
40 21 1 -4.28367711490071
40 38 1 4.28367711490071
41 8 2 3.51890981261465
41 41 1 -4.28367711490071
41 57 1 4.28367711490071
42 46 1 -4.28367711490071
42 4 2 -3.51890981261465
42 23 1 -4.28367711490071
43 30 2 3.51890981261465
43 29 1 4.28367711490071
43 17 1 4.28367711490071
44 55 1 4.28367711490071
44 15 2 3.51890981261465
44 29 1 -4.28367711490071
45 19 1 4.28367711490071
45 51 2 3.51890981261465
45 23 2 -3.51890981261465
46 47 1 -4.28367711490071
46 4 1 -4.28367711490071
46 7 1 -4.28367711490071
47 34 2 3.51890981261465
47 29 1 4.28367711490071
47 18 1 -4.28367711490071
48 54 2 3.51890981261465
48 18 1 4.28367711490071
48 47 2 -3.51890981261465
49 14 1 -4.28367711490071
49 8 1 -4.28367711490071
49 24 2 -3.51890981261465
50 15 1 4.28367711490071
50 43 1 -4.28367711490071
50 5 2 3.51890981261465
51 42 2 3.51890981261465
51 30 2 -3.51890981261465
51 44 1 -4.28367711490071
52 9 2 -3.51890981261465
52 7 2 3.51890981261465
52 44 1 4.28367711490071
53 51 1 -4.28367711490071
53 23 1 -4.28367711490071
53 27 1 4.28367711490071
54 37 1 -4.28367711490071
54 53 2 3.51890981261465
54 11 2 3.51890981261465
55 22 2 3.51890981261465
55 25 1 4.28367711490071
55 20 1 -4.28367711490071
56 6 1 4.28367711490071
56 27 2 3.51890981261465
56 31 2 -3.51890981261465
57 53 1 -4.28367711490071
57 15 1 -4.28367711490071
57 17 1 -4.28367711490071
58 54 2 3.51890981261465
58 7 1 -4.28367711490071
58 5 2 -3.51890981261465
59 47 1 -4.28367711490071
59 7 1 -4.28367711490071
59 4 1 4.28367711490071
60 48 2 3.51890981261465
60 24 1 4.28367711490071
60 11 2 -3.51890981261465
61 44 2 -3.51890981261465
61 10 1 -4.28367711490071
61 46 2 3.51890981261465
62 4 2 -3.51890981261465
62 21 2 3.51890981261465
62 9 1 -4.28367711490071
63 25 1 4.28367711490071
63 16 1 -4.28367711490071
63 15 1 -4.28367711490071
64 35 2 3.51890981261465
64 54 2 3.51890981261465
64 6 1 -4.28367711490071
65 7 2 -3.51890981261465
65 4 1 -4.28367711490071
65 40 2 3.51890981261465
66 38 1 4.28367711490071
66 24 1 4.28367711490071
66 50 2 -3.51890981261465
67 30 2 -3.51890981261465
67 18 1 4.28367711490071
67 8 1 -4.28367711490071
68 5 2 -3.51890981261465
68 56 2 3.51890981261465
68 53 1 -4.28367711490071
69 25 1 -4.28367711490071
69 38 2 -3.51890981261465
69 24 2 -3.51890981261465
70 5 1 -4.28367711490071
70 45 1 -4.28367711490071
70 25 1 4.28367711490071
71 8 1 -4.28367711490071
71 17 2 3.51890981261465
71 19 1 4.28367711490071
72 39 1 -4.28367711490071
72 11 2 -3.51890981261465
72 34 2 3.51890981261465
73 13 1 4.28367711490071
73 43 2 3.51890981261465
73 45 2 3.51890981261465
74 39 2 3.51890981261465
74 40 2 3.51890981261465
74 11 2 3.51890981261465
75 5 1 4.28367711490071
75 27 2 3.51890981261465
75 39 2 3.51890981261465
76 44 1 -4.28367711490071
76 18 1 -4.28367711490071
76 11 1 4.28367711490071
77 30 1 -4.28367711490071
77 40 1 4.28367711490071
77 19 2 -3.51890981261465
78 39 2 3.51890981261465
78 42 2 -3.51890981261465
78 43 2 3.51890981261465
79 27 2 -3.51890981261465
79 16 1 -4.28367711490071
79 44 2 3.51890981261465
80 29 1 -4.28367711490071
80 45 1 4.28367711490071
80 23 2 -3.51890981261465
81 14 1 4.28367711490071
81 6 1 -4.28367711490071
81 45 1 -4.28367711490071
82 4 1 4.28367711490071
82 18 2 3.51890981261465
82 23 1 4.28367711490071
83 50 2 -3.51890981261465
83 9 1 -4.28367711490071
83 33 1 -4.28367711490071
84 8 2 -3.51890981261465
84 14 1 4.28367711490071
84 44 2 -3.51890981261465
85 4 1 -4.28367711490071
85 34 2 3.51890981261465
85 5 1 -4.28367711490071
86 28 2 3.51890981261465
86 48 2 -3.51890981261465
86 16 1 -4.28367711490071
87 23 1 4.28367711490071
87 10 1 -4.28367711490071
87 53 1 4.28367711490071
88 39 2 -3.51890981261465
88 25 1 -4.28367711490071
88 52 2 -3.51890981261465
89 53 2 -3.51890981261465
89 45 1 -4.28367711490071
89 5 2 -3.51890981261465
90 23 1 4.28367711490071
90 55 1 -4.28367711490071
90 35 1 -4.28367711490071
91 4 2 3.51890981261465
91 49 2 3.51890981261465
91 24 1 -4.28367711490071
92 39 2 -3.51890981261465
92 20 2 3.51890981261465
92 31 2 3.51890981261465
93 55 1 -4.28367711490071
93 31 1 -4.28367711490071
93 24 1 4.28367711490071
94 19 1 4.28367711490071
94 32 2 -3.51890981261465
94 11 2 3.51890981261465
95 9 2 3.51890981261465
95 24 1 4.28367711490071
95 18 2 -3.51890981261465
96 10 2 3.51890981261465
96 48 1 4.28367711490071
96 4 1 4.28367711490071
97 30 1 4.28367711490071
97 20 1 -4.28367711490071
97 22 2 3.51890981261465
98 4 1 -4.28367711490071
98 38 1 4.28367711490071
98 47 2 -3.51890981261465
99 6 2 -3.51890981261465
99 40 1 4.28367711490071
99 25 2 -3.51890981261465
100 51 2 3.51890981261465
100 42 1 -4.28367711490071
100 50 1 4.28367711490071
